coordinates,created_at,followers,friends,geolocation,original_text,text,tweet_type,user_id,user_location,user_name,user_screen_name,verified,lang
,2015-09-09 14:40:19+00:00,7233,1055,,,Now: @M_Ignatieff @Kennedy_School ponders the role the US &amp; Canada might play in the European migrant crisis. Live - http://t.co/gPTcK4pquj,post,100002112,"Philadelphia, PA",Radio Times,whyyradiotimes,FALSE,en
,2015-09-09 14:05:22+00:00,7233,1055,,,On now: @MartyMossCoane speaks w. @bzelizer @Penn on the power of images of the migrant crisis in Europe. Listen: http://t.co/8dwGjLCxFI,post,100002112,"Philadelphia, PA",Radio Times,whyyradiotimes,FALSE,en
,2015-09-09 20:54:25+00:00,7234,1055,,"Europe’s migrant crisis: the images &amp; the response. @whyyradiotimes podcast w. @bzelizer, @SumangaliS &amp; @M_Ignatieff http://t.co/m6muMWjcOD","RT @whyy: Europe’s migrant crisis: the images &amp; the response. @whyyradiotimes podcast w. @bzelizer, @SumangaliS &amp; @M_Ignatieff http://t.co/…",share,100002112,"Philadelphia, PA",Radio Times,whyyradiotimes,FALSE,en
,2015-09-09 14:01:07+00:00,7232,1055,,,"This hour, the images and the response to the migrant crisis in Europe w. @bzelizer @Penn, @SumangaliS &amp; @M_Ignatieff http://t.co/Uu2bttwj35",post,100002112,"Philadelphia, PA",Radio Times,whyyradiotimes,FALSE,en
,2015-09-06 04:21:35+00:00,185,451,,"The Refugee Crisis Isn’t a ‘European Problem’ http://t.co/DslHcxZjyo
¿Y México??",RT @IsabelTurrent: The Refugee Crisis Isn’t a ‘European Problem’ http://t.co/DslHcxZjyo ¿Y México??,share,100142688,Cd. Juárez,Rafael Sosa de Santi,rafistronic,FALSE,en
,2015-09-10 05:11:10+00:00,57231,4463,,,Migrant crisis: Hungarian army stages border protection exercise @BBC @radio3mondo @ROBZIK   http://t.co/p0y6JrKSS4 http://t.co/B6FwNzMgXv,post,100185915,Italy,Rai Radio3,Radio3tweet,FALSE,en
,2015-09-01 05:25:13+00:00,56937,4448,,,Migrant route to Germany! @radio3mondo @anna_mazzone @BBCBreaking http://t.co/YjBnKQQLsp,post,100185915,Italy,Rai Radio3,Radio3tweet,FALSE,en
,2015-09-10 09:24:11+00:00,57237,4464,,,"Refugee Radio Network programmi diffusi su radio internazionali.Per Italia, importante per il numero di migranti, Radio Vaticana. @aborgnino",post,100185915,Italy,Rai Radio3,Radio3tweet,FALSE,en
,2015-09-10 09:26:36+00:00,57237,4464,,,Refugee Radio Network: pensata per raccontare le loro storie dal loro punto di vista e aiutare chi arriva senza niente. @aborgnino,post,100185915,Italy,Rai Radio3,Radio3tweet,FALSE,en
,2015-09-10 09:20:54+00:00,57237,4464,,,@aborgnino ci porta ad #Amburgo. Refugee Radio Network racconta le voci e le storie di chi scappa verso l'Europa. @ROBZIK,post,100185915,Italy,Rai Radio3,Radio3tweet,FALSE,it
,2015-09-10 09:28:28+00:00,57237,4464,,,"Larry Moore Macaulay fondatore di Refugee Radio Network, ""il capitano"": ricerca di storie da raccontare nella loro interezza. @aborgnino",post,100185915,Italy,Rai Radio3,Radio3tweet,FALSE,it
